IDEP 2023;;;;;;;;IDEP;;METAS;
Cod_Esc;Escola;Diretoria;Distrito;NSE;Grupo;ICG;Faixa;IDEP_INICIAL;IDEP_FINAL;IDEP_INICIAL;IDEP_FINAL
17981;EMEF PERICLES EUGENIO DA SILVA RAMOS;IPIRANGA;IPIRANGA;46,19384001;1;3;1;5,2;4,3;3,6;3,6
19260;CEU EMEF PAULO GONCALO DOS SANTOS, PROF.;SANTO AMARO;PEDREIRA;48,65138495;1;3;1;4,1;4,3;4,2;4,2
19271;CEU EMEF PERA MARMELO;PIRITUBA;JARAGUA;51,994;3;6;6;5,3;4,3;4,6;4,2
19283;EMEF JOSE BLOTA JUNIOR, DEP.;CAMPO LIMPO;JARDIM ANGELA;47,74371556;1;3;1;4,1;4,3;4,0;3,5
19370;EMEF JARDIM MITSUTANI I - PAULO PATARRA, JORNALISTA;CAMPO LIMPO;CAMPO LIMPO;48,72267311;1;3;1;4,1;4,3;4,4;3,8
19391;CEU EMEF ALTO ALEGRE;SAO MATEUS;IGUATEMI;52,99719278;3;3;5;3,9;4,3;3,9;3,6
19443;EMEF MEIRE DE JESUS RIBEIRO,PROF.;GUAIANASES;CIDADE TIRADEN;48,29742547;1;3;1;4;4,3;3,9;3,4
92720;EMEF ARTHUR WHITAKER, DES.;BUTANTA;VILA SONIA;50,12824888;2;5;4;4,7;4,3;4,4;4,1
92827;EMEF ALVARO SILVA BRAGA, GEN.;BUTANTA;RIO PEQUENO;49,25793579;1;3;1;4,5;4,3;3,8;2,9
92860;EMEF MARIO MOURA E ALBUQUERQUE, BEL.;CAMPO LIMPO;JARDIM SAO LUI;47,48939693;1;3;1;4;4,3;4,1;3,6
92932;EMEF JORGE AMERICANO, PROF.;CAMPO LIMPO;CAPAO REDONDO;47,12868231;1;6;2;4,4;4,3;3,7;3,5
92967;EMEF LEVY DE AZEVEDO SODRE, PROF.;CAMPO LIMPO;CAMPO LIMPO;47,63811766;1;3;1;4,4;4,3;4,0;3,5
93084;EMEF DE GAULLE, GEN.;CAMPO LIMPO;JARDIM SAO LUI;46,17718598;1;3;1;4;4,3;3,9;3,5
93289;EMEF PEREIRA CARNEIRO, CDE.;SANTO AMARO;CAMPO GRANDE;52,08636522;3;3;5;4,3;4,3;5,2;4,5
93416;EMEF JOSE AMADEI, ENG.;CAPELA DO SOCORRO;CIDADE DUTRA;50,85449084;2;3;3;4,1;4,3;5,2;4,9
93505;EMEF BENEDITO CALIXTO;ITAQUERA;JOSE BONIFACIO;50,87856278;2;6;4;4,4;4,3;4,4;3,9
93661;EMEF OCTAVIO MANGABEIRA;PENHA;ERMELINO MATAR;47,81418876;1;3;1;5,1;4,3;4,2;3,6
